2015/05/06,龍潭,PM2.5,17,14,11,12,13,14,16,17,24,23,24,31,37,42,34,36,37,35,33,32,34,37,35,37
2015/05/07,龍潭,PM2.5,37,33,22,18,16,23,18,23,24,32,34,42,40,38,23.65,55,52,46,45,37,32,15,12,15
2015/05/08,龍潭,PM2.5,22,20,21,17,15,13,18,19,23,20,37,38,57,54,32,20,28,14,19,16,25,22,25,22
2015/05/09,龍潭,PM2.5,21,21,21,15,15,11,15,13,22,21,23,20,25,24,18,15,17,23,22,19,19,18,24,17
2015/05/10,龍潭,PM2.5,18,13,19,17,20,15,11,13,19,22,17,15,14,11,14,12,19,15,23,25,29,35,32,33
2015/05/11,龍潭,PM2.5,33,34,29,17,16,26,33,33,30,29,27,22,33,40,53,50,51,38,36,33,41,31,37,23
2015/05/12,龍潭,PM2.5,24,12,12,16,11,12,7,14,12,12,12,22.64,32,31,23,26,22,27,25,25,26,23,31,25
2015/05/13,龍潭,PM2.5,26,25,26,25,20,17,16,19,17,16,17,23,24,29,35,42,42,37,40,37,33,29,27,38
2015/05/14,龍潭,PM2.5,18.76,18.02,17.22,16.7,16.41,16.9,17.48,18.85,19.93,21.28,22.04,22.64,23.32,20,17,16,13,10,7,5,5,12,14,13
2015/05/15,龍潭,PM2.5,8,5,6,6,10,10,18,19,23,16,20,22,16,8,17,11,11,7,12,10,17,18,23,12
2015/05/16,龍潭,PM2.5,14,8,15,8,11,8,11,14,16,18,14,17,13,11,10,13,20,17,17,14,11,12,10,11
2015/05/17,龍潭,PM2.5,10,12,13,19,19,19,12,13,13,13,15,19,21,21,22,26,33,32,29,15,11,12,19,14
2015/05/18,龍潭,PM2.5,11,13,17,21,18,21,15,19,20,20,18,14,20,21,21,22,19,19,15,10,13,15,21,16
2015/05/19,龍潭,PM2.5,16,13,16,9,11,6,9,7,17,15,23,17,24,19,23.65,36,29,33,16,21,21,22,18,12
2015/05/20,龍潭,PM2.5,12,13,18,19,17,14,11,19,21,21,14,11,12,8,6,7,13,14,9,13,11,14,8,8
2015/05/21,龍潭,PM2.5,4,3,5,6,5,10,13,13,11,14,15,17,14,17,16,17,15,14,7,9,9,14,9,6
2015/05/22,龍潭,PM2.5,4,10,10,9,5,8,6,5,6,5,5,8,8,19,19,24,18,18,22,23,19,15,14,14
2015/05/23,龍潭,PM2.5,17,14,11,6,3,4,2,9,7,10,5,6,11,14,20,18,15,10,6,11,15,13,8,6
2015/05/24,龍潭,PM2.5,6,6,2,8,6,6,0,1,6,5,6,1,3,2,2,4,5,7,3,9,8,12,7,9
2015/05/25,龍潭,PM2.5,9,8,6,7,6,11,10,8,9,6,10,7,12,12,15,13,11,13,19,27,25,24,19,23
2015/05/26,龍潭,PM2.5,15,19,20,21,22,15,18,18,26,26,24,27,27,32,29,22.95,27,24,23,24,16,13,9,10
2015/05/27,龍潭,PM2.5,5,3,9,9,8,4,4,12,10,19,18,17,10,10,7,10,5,9,4,6,4,3,6,7
2015/05/28,龍潭,PM2.5,11,6,5,6,6,8,7,11,9,10,10,11,13,11,10,9,7,12,11,18,19,18,14,9
2015/05/29,龍潭,PM2.5,12,14,14,9,8,5,5,9,13,14,14,18,24,19,19,16,14,12,11,12,9,14,12,9
2015/05/30,龍潭,PM2.5,8,10,10,6,7,12,8,9,13,15,13,10,11,15,9,11,8,11,21,21,24,15,18,15
2015/05/31,龍潭,PM2.5,16,10,7,3,9,12,14,11,7,10,14,25,22,24,18,18,9,8,12,15,18,15,13,10
2015/06/01,龍潭,PM2.5,11,12,10,7,11,19,20,20,9,7,10,13,16,16,19,16,13,7,11,9,15,11,10,8
2015/06/02,龍潭,PM2.5,10,11,8,6,13,13,19,14,16,13,12,12,15,18,23.65,21,12,13,14,16,12,12,14,17
2015/06/03,龍潭,PM2.5,19,15,12,6,10,11,16,15,20,15,15,6,15,10,17,11,12,7,6,7,7,8,13,13
2015/06/04,龍潭,PM2.5,17,12,20,19,17,14,10,20,18,21,11,10,8,18,18,20,14,23,30,30,25,17,24,21
2015/06/05,龍潭,PM2.5,22,19,19,18,15,16,17,15,19,15,15,15,16,24,19,15,9,11,15,13,11,11,15,16
2015/06/06,龍潭,PM2.5,17,20,16,12,9,13,13,19,20,28,21,21,14,18,19,15,16,12,17,13,11,11,13,17
2015/06/07,龍潭,PM2.5,17,18,17,14,11,9,6,11,17,21,20,18,23,21,26,21,25,16,12,6,12,12,21,14
2015/06/08,龍潭,PM2.5,14,9,6,15,8,18,12,23,15,22,11,14,14,15,14,12,13,18,14,17,14,12,11,11
2015/06/09,龍潭,PM2.5,13,15,12,13,9,8,11,11,14,7,12,12,15,18,12,13,12,17,16,9,11,17,15,13
2015/06/10,龍潭,PM2.5,5,11,12,16,13,13,14,17,15,13,12,16,22,21,15,12,16,18,18,17,16,16,9,13
2015/06/11,龍潭,PM2.5,10,13,18,16,17,10,13,14,9,11,11,15,14,16,16,18,16,12,7,12,19,23,18,13
2015/06/12,龍潭,PM2.5,10,13,11,9,12,16,24,25,26,23,18,18,15,18,17,21,16,16,11,14,9,10,4,8
2015/06/13,龍潭,PM2.5,13,14,12,6,10,7,10,5,15,20,24,20,16,22,16,22,12,16,10,16,12,8,11,11
2015/06/14,龍潭,PM2.5,13,7,9,11,7,13,11,19,18,23,15,23,25,30,18,14,13,10,13,12,12,9,6,10
2015/06/15,龍潭,PM2.5,13,12,8,0,2,9,20,18,15,7,14,13,18,12,15,11,14,8,7,6,8,11,12,10
2015/06/16,龍潭,PM2.5,10,7,7,4,12,14,14,10,17,18,13,10,18,21,18,13,9,15,15,19,12,9,11,8
2015/06/17,龍潭,PM2.5,6,7,10,18,11,14,14,21,24,21,23,16,13,11,11,10,10,12,17,14,14,12,14,12
2015/06/18,龍潭,PM2.5,7,9,9,13,9,13,17,17,17,9,12,14,27,26,23.65,18,4,5,15,21,20,17,21,19
2015/06/19,龍潭,PM2.5,19,10,17,16,21,12,14,8,14,12,20,18,15,6,10,13,18,17,21,26,20,26,25,28
2015/06/20,龍潭,PM2.5,17,9,6,4,4,10,11,20,16,21,15,18,22,20,23,19,29,20,19,13,20,21,16,20
2015/06/21,龍潭,PM2.5,23,21,14,16,21,23,20,26,30,33,35,33,28,27,24,22,16,22,25,22,12,11,11,20
2015/06/22,龍潭,PM2.5,13,13,10,10,11,6,15,10,14,12,20,23,19,20,22,24,25,23,29,24,26,21,15,9
2015/06/23,龍潭,PM2.5,10,12,14,13,12,12,12,12,13,17,20,21,14,12,11,16,19,17,14,9,11,7,5,1
2015/06/24,龍潭,PM2.5,2,2,3,7,7,8,4,4,5,12,18,17,14,9,12,8,9,7,9,12,12,8,6,3
2015/06/25,龍潭,PM2.5,4,3,3,7,5,7,2,6,5,9,8,16,12,11,8,11,9,11,11,12,15,13,18,12
2015/06/26,龍潭,PM2.5,16,10,12,8,12,12,11,10,5,6,8,14,16,23.54,15,9,11,12,14,14,12,15,14,18
2015/06/27,龍潭,PM2.5,15,22,15,17,11,16,15,10,10,9,13,16,19,17,20,18,18,12,9,11,14,14,21,14
2015/06/28,龍潭,PM2.5,16,10,14,19,18,14,14,17,20,17,13,13,9,12,22,20,19,14,18,18,14,12,19,26
2015/06/29,龍潭,PM2.5,30,23,20,17,20,17,19,21,27,23,20,20,18,16,17,19,22,19,18,14,9,8,6,7
2015/06/30,龍潭,PM2.5,12,13,13,6,4,4,8,15,15,16,17,18,17,23.54,11,9,5,11,11,19,26,32,30,27
2015/07/01,龍潭,PM2.5,22,22,15,16,14,13,7,12,11,16,12,13,13,16,15,12,11,13,17,17,22,24,23,18
2015/07/02,龍潭,PM2.5,11,7,8,11,7,11,16,18,20,19,19,17,12,20,20,17,12,15,19,22,15,11,8,10
2015/07/03,龍潭,PM2.5,12,8,10,12,13,17,18,25,19,21,15,14,19,21,21,16,19,14,10,11,14,25,17,22
2015/07/04,龍潭,PM2.5,19,16,13,6,10,14,13,15,22,27,32,26,29,28,27,25,19,20,19,22,19,15,15,21
2015/07/05,龍潭,PM2.5,18,21,10,11,4,8,9,12,11,11,8,10,13,12,12,15,12,13,11,13,14,8,11,6
2015/07/06,龍潭,PM2.5,7,1,4,5,5,9,10,14,12,18,20,26,30,28,28,21,21,18,11,7,15,19,24,13
2015/07/07,龍潭,PM2.5,13,10,12,8,15,18,26,24,21,29,33,42,35,34,26,23,22,16,16,14,18,19,18,18
2015/07/08,龍潭,PM2.5,14,16,15,12,10,10,16,17,19,12,8,15,18,29,25,33,27,33,37,30,19,10,9,9
2015/07/09,龍潭,PM2.5,10,15,20,16,20,24,28,21,22,21,24,15,14,12,10,11,9,10,7,7,13,15,16,8
2015/07/10,龍潭,PM2.5,5,1,5,5,8,4,3,8,8,13,5,8,4,12,10,13,8,8,4,4,3,8,7,10
2015/07/11,龍潭,PM2.5,12,9,13,10,16,15,12,14,13,19,21,21,20,16,14,14,17,16,20,18,19,19,18,16
2015/07/12,龍潭,PM2.5,11,7,11,6,9,5,11,11,16,17,21,24,22,19,19,26,28,30,29,27,26,19,22,20
2015/07/13,龍潭,PM2.5,19,19,24,24,25,18,20,17,17,22,19,25,26,26,23.65,16,13,15,29,34,36,34,32,30
2015/07/14,龍潭,PM2.5,31,23,21,20,22,26,18,23,23,32,33,31,32,32,33,30,27,32,34,35,31,29,27,34
2015/07/15,龍潭,PM2.5,32,31,18,24,26,33,29,35,32,37,36,38,36,39,37,36,30,32,29,27,31,35,36,37
2015/07/16,龍潭,PM2.5,30,24,17,25,34,37,38,45,50,49,39,34,32,27,29,32,45,41,46,50,53,49,41,43
2015/07/17,龍潭,PM2.5,42,35,33,33,37,34,35,40,49,50,50,43,47,45,46,40,45,38,40,41,39,39,28,35
2015/07/18,龍潭,PM2.5,31,34,28,30,31,25,26,24,30,28,33,40,53,57,55,45,39,41,46,38,33,23,22,25
2015/07/19,龍潭,PM2.5,37,45,45,37,35,34,30,29,24,21,17,15,16,14,14,18,17,15,11,13,11,8,3,8
2015/07/20,龍潭,PM2.5,7,7,4,4,12,10,11,9,10,10,11,10,12,13,15,16,14,18,15,10,11,10,9,7
2015/07/21,龍潭,PM2.5,10,10,6,4,6,4,2,5,5,8,5,8,9,8,20,20,22,9,9,18,22,30,20,16
2015/07/22,龍潭,PM2.5,16,13,20,12,17,15,11,14,14,19,17,14,10,12,11,19,19,23,17,10,7,9,14,11
2015/07/23,龍潭,PM2.5,13,10,10,6,5,10,13,16,17,20,14,13,12,15,18,11,8,6,6,12,8,7,4,4
2015/07/24,龍潭,PM2.5,6,3,4,4,5,3,6,5,11,13,17,14,11,19,21,26,16,11,11,16,24,17,19,17
2015/07/25,龍潭,PM2.5,20,12,11,13,13,13,14,18,16,15,13,14,15,21,19,23,23,22,18,14,16,15,19,18
2015/07/26,龍潭,PM2.5,17,10,14,12,17,17,17,16,16,20,17,17,18,22,19,18,12,18,16,19,17,14,13,12
2015/07/27,龍潭,PM2.5,10,10,10,12,12,10,10,11,9,16,25,28,22,16,17,19,25,21,18,13,12,13,9,8
2015/07/28,龍潭,PM2.5,9,8,9,4,2,11,13,13,3,11,22.04,16,17,13,13,17,17,17,18,13,16,13,13,4
2015/07/29,龍潭,PM2.5,2,4,4,4,7,8,8,3,6,6,8,9,11,18,15,17,16,21,21,20,18,19,16,15
